Port ID;Latitude;Longitude
ITCVV;42.102;11.771
GNCKY;9.516667;-13.716667
CNDAL;38.916667;121.666667
KEMBA;-4.066667;39.666667
SNDKR;14.683333;-17.433333
ILASH;31.816667;34.65
BGVAR;43.183333;27.966667
MGTOA;-18.166667;49.416667
SDPZU;19.6;37.233333
USLAX;33.75;-118.25
ARBUE;-34.6;-58.366667
BJCOO;6.35;2.433333
BGBOJ;42.483333;27.483333
AEJEA;25.016667;55.05
CAVAN;49.283333;-123.116667
DZALG;36.766667;3.066667
COBUN;3.883333;-77.066667
DKCPH;55.7;12.616667
DZSKI;36.883333;6.916667
ESALG;36.133333;-5.433333
GRPIR;37.933333;23.65
IDSUB;-7.2;112.733333
ITAOI;43.629;13.494
ITCAG;39.19;9.102
ITSAL;40.666667;14.75
INIXZ;11.683333;92.75
MACAS;33.6;-7.616667
ROCND;44.166667;28.65
LRMLW;6.316667;-10.816667
MXESE;31.866667;-116.633333
PHDVO;7.066667;125.616667
NZTRG;-37.633333;176.166667
MUPLU;-20.15;57.5
SOBBO;10.45;45.016667
SIKOP;45.55;13.733333
TGLFW;6.133333;1.283333
SESTO;59.333333;18.05
USOAK;37.816667;-122.333333
USLGB;33.766667;-118.183333
UYMVD;-34.9;-56.216667
USSEA;47.6;-122.333333
USTIW;47.283333;-122.416667
HKHKG;22.266667;114.2
AUMEL;-37.833333;144.966667
MYBTU;3.266667;113.066667
QADOH;25.283333;51.533333
TZDAR;-6.816667;39.3
MZBEW;-19.833333;34.833333
ZADUR;-29.866667;31.066667
ZACPT;-33.916667;18.416667
DZORN;35.7;-0.633333
DZBJA;36.75;5.083333
LBBEY;33.9;35.5
TRIZM;38.433333;27.133333
TRHAY;41;29.016667
UAODS;46.483333;30.733333
ALDRZ;41.316667;19.45
MEBAR;42.083333;19.083333
ITSPE;44.1;9.833333
ITGOA;44.398;8.922
FRMRS;43.316667;5.366667
SLFNA;8.5;-13.233333
ESBCN;41.35;2.166667
ESCAR;37.583333;-0.983333
MTMAR;35.816667;14.55
TRIZT;40.766667;29.916667
ITCTA;37.5;15.1
NZNPE;-39.483333;176.916667
CYLMS;34.666667;33.05
ILHFA;32.816667;35
INHZA;21.083333;72.633333
THLCH;13.083333;100.883333
TWKHH;22.616667;120.25
BRSSZ;-23.95;-46.3
CATOR;43.616667;-79.383333
MXVER;19.2;-96.133333
BRPNG;-25.5;-48.516667
ZARCB;-28.81;32.09833333
PLGDY;54.533333;18.55
EGALY;31.166667;29.833333
EGDAM;31.483333;31.75
CLSAI;-33.583333;-71.616667
JPNGO;35.066667;136.866667
MYSDK;5.833333;118.116667
SAJED;21.483333;39.183333
SOMGQ;2.033333;45.35
TWKEL;25.133333;121.766667
PECLL;-12.05;-77.15
PAONX;9.366667;-79.883333
TTPOS;10.65;-61.516667
PKBQM;24.766667;67.35
PKKHI;24.783333;66.983333
KRPUS;35.1;129.033333
OMSLL;16.95111111;54.02916667
AEKLF;25.36277778;56.36888889
DJJIB;11.6;43.133333
MXZLO;19.05;-104.316667
CGPNR;-4.783333;11.833333
AUFRE;-32.05;115.75
YEADE;12.783333;44.95
IRBND;27.15;56.2
AOLAD;-8.8;13.25
SADMM;26.5;50.2
TRMER;36.8;34.633333
ESBIO;43.35;-3.05
GRSKG;40.633333;22.933333
TZZNZ;-6.166667;39.183333
MAPTM;35.9;-5.516667
TRSSX;41.3;36.35
ESVLC;39.45;-0.316667
JPTYO;35.666667;139.75
JPYOK;35.45;139.583333
FJSUV;-18.133333;178.416667
ITTRS;45.651;13.746
GHTEM;5.631944444;0.015555556
OMSOH;24.516667;56.633333
AUSYD;-33.866667;151.2
NOOSL;59.916667;10.75
INTUT;8.8;78.166667
INMAA;13.1;80.3
LKCMB;6.95;79.85
